"Figure 1. Temperatures in the Contiguous 48 States, 1901-2023",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2024",,,
Web update: June 2024,,,
Units: °F,,,
,,,
Year,Earth's surface,Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.15,null,null
1902,-0.43,null,null
1903,-1.4,null,null
1904,-0.86,null,null
1905,-1.02,null,null
1906,-0.29,null,null
1907,-0.54,null,null
1908,0.06,null,null
1909,-0.59,null,null
1910,0.4,null,null
1911,0.01,null,null
1912,-1.79,null,null
1913,-0.48,null,null
1914,-0.18,null,null
1915,-0.57,null,null
1916,-1.17,null,null
1917,-1.96,null,null
1918,-0.15,null,null
1919,-0.47,null,null
1920,-0.95,null,null
1921,1.78,null,null
1922,0.01,null,null
1923,-0.38,null,null
1924,-1.43,null,null
1925,0.5,null,null
1926,-0.07,null,null
1927,0.13,null,null
1928,-0.1,null,null
1929,-1.17,null,null
1930,-0.04,null,null
1931,1.52,null,null
1932,-0.29,null,null
1933,0.97,null,null
1934,2.08,null,null
1935,-0.12,null,null
1936,0.13,null,null
1937,-0.47,null,null
1938,1.16,null,null
1939,1.24,null,null
1940,-0.13,null,null
1941,0.64,null,null
1942,-0.18,null,null
1943,0.05,null,null
1944,-0.19,null,null
1945,-0.27,null,null
1946,0.93,null,null
1947,-0.1,null,null
1948,-0.41,null,null
1949,0,null,null
1950,-0.63,null,null
1951,-0.9,null,null
1952,0.25,null,null
1953,1.35,null,null
1954,1.31,null,null
1955,-0.33,null,null
1956,0.32,null,null
1957,0.02,null,null
1958,-0.09,null,null
1959,0.09,null,null
1960,-0.58,null,null
1961,-0.15,null,null
1962,-0.12,null,null
1963,0.24,null,null
1964,-0.35,null,null
1965,-0.33,null,null
1966,-0.53,null,null
1967,-0.26,null,null
1968,-0.7,null,null
1969,-0.52,null,null
1970,-0.41,null,null
1971,-0.36,null,null
1972,-0.65,null,null
1973,0.27,null,null
1974,0.24,null,null
1975,-0.52,null,null
1976,-0.55,null,null
1977,0.53,null,null
1978,-0.97,null,null
1979,-1.14,0.049093434,-0.808971111
1980,0.37,0.731593434,0.178178889
1981,1.1,1.102093434,0.658778889
1982,-0.67,0.008593434,-0.579771111
1983,-0.14,0.034093434,-0.383871111
1984,-0.04,0.292093434,-0.217371111
1985,-0.72,0.110593434,-1.053021111
1986,1.3,1.220593434,0.737978889
1987,1.31,1.054093434,1.111328889
1988,0.61,0.698593434,0.557978889
1989,-0.18,0.548593434,0.221828889
1990,1.49,1.451593434,1.280228889
1991,1.14,1.031593434,1.043228889
1992,0.58,0.484093434,0.585278889
1993,-0.76,-0.174406566,-0.261321111
1994,0.85,1.043593434,1.078178889
1995,0.63,0.797593434,0.772628889
1996,-0.13,0.502093434,0.278078889
1997,0.18,0.457093434,0.418178889
1998,2.21,1.691593434,1.911578889
1999,1.86,1.796593434,1.882928889
2000,1.25,1.351093434,1.471328889
2001,1.68,1.255093434,1.536578889
2002,1.19,0.994093434,1.144628889
2003,1.24,1.223593434,1.465628889
2004,1.08,0.769093434,1.058528889
2005,1.62,1.303093434,1.583078889
2006,2.23,1.444093434,1.749278889
2007,1.63,1.765093434,1.858928889
2008,0.27,0.467593434,0.503378889
2009,0.37,0.524593434,0.595928889
2010,0.96,0.929593434,0.997028889
2011,1.16,1.013593434,1.109378889
2012,3.26,1.955593434,2.677328889
2013,0.41,0.655093434,0.696278889
2014,0.52,0.763093434,0.781478889
2015,2.38,2.234593434,2.547878889
2016,2.9,2.030593434,2.476328889
2017,2.53,2.252593434,2.350478889
2018,1.5,1.645093434,1.793978889
2019,0.66,1.133593434,1.221428889
2020,2.35,1.970593434,2.290628889
2021,2.49,2.059093434,2.485328889
2022,1.37,1.567093434,1.596878889
2023,2.39,null,1.886228889
