"Figure 2. Temperatures Worldwide, 1901-2023",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2024",,,
Web update: June 2024,,,
Units: °F,,,
,,,
Year,Earth's surface (land and ocean),Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.198,null,null
1902,-0.396,null,null
1903,-0.648,null,null
1904,-0.774,null,null
1905,-0.45,null,null
1906,-0.288,null,null
1907,-0.612,null,null
1908,-0.738,null,null
1909,-0.756,null,null
1910,-0.666,null,null
1911,-0.72,null,null
1912,-0.594,null,null
1913,-0.576,null,null
1914,-0.252,null,null
1915,-0.144,null,null
1916,-0.54,null,null
1917,-0.774,null,null
1918,-0.54,null,null
1919,-0.414,null,null
1920,-0.414,null,null
1921,-0.288,null,null
1922,-0.414,null,null
1923,-0.45,null,null
1924,-0.414,null,null
1925,-0.36,null,null
1926,-0.126,null,null
1927,-0.306,null,null
1928,-0.288,null,null
1929,-0.576,null,null
1930,-0.198,null,null
1931,-0.09,null,null
1932,-0.216,null,null
1933,-0.432,null,null
1934,-0.18,null,null
1935,-0.27,null,null
1936,-0.198,null,null
1937,-0.018,null,null
1938,0.018,null,null
1939,0.036,null,null
1940,0.27,null,null
1941,0.414,null,null
1942,0.162,null,null
1943,0.144,null,null
1944,0.432,null,null
1945,0.27,null,null
1946,-0.072,null,null
1947,0,null,null
1948,-0.126,null,null
1949,-0.108,null,null
1950,-0.234,null,null
1951,-0.054,null,null
1952,0.09,null,null
1953,0.18,null,null
1954,-0.162,null,null
1955,-0.216,null,null
1956,-0.288,null,null
1957,0.108,null,null
1958,0.162,null,null
1959,0.126,null,null
1960,0.018,null,null
1961,0.144,null,null
1962,0.09,null,null
1963,0.126,null,null
1964,-0.306,null,null
1965,-0.144,null,null
1966,-0.054,null,null
1967,0.018,null,null
1968,-0.09,null,null
1969,0.18,null,null
1970,0.09,null,null
1971,-0.108,null,null
1972,0.108,null,null
1973,0.342,null,null
1974,-0.09,null,null
1975,0.018,null,null
1976,-0.09,null,null
1977,0.36,null,null
1978,0.18,null,null
1979,0.36,0.504454545,0.304986667
1980,0.558,0.804454545,0.568386667
1981,0.63,0.679954545,0.543336667
1982,0.306,0.346954545,0.196836667
1983,0.63,0.804454545,0.594636667
1984,0.342,0.450454545,0.142236667
1985,0.288,0.226954545,0.047136667
1986,0.396,0.487954545,0.247986667
1987,0.612,0.966454545,0.758586667
1988,0.72,0.948454545,0.703536667
1989,0.504,0.504454545,0.354486667
1990,0.81,0.904954545,0.656886667
1991,0.756,0.915454545,0.736536667
1992,0.432,0.375454545,0.268386667
1993,0.486,0.513454545,0.377136667
1994,0.594,0.762454545,0.610986667
1995,0.864,1.005454545,0.854436667
1996,0.63,0.862954545,0.681186667
1997,0.882,0.865954545,0.740736667
1998,1.134,1.750954545,1.546086667
1999,0.738,0.849454545,0.742536667
2000,0.738,0.843454545,0.732486667
2001,0.99,1.086454545,1.021086667
2002,1.116,1.269454545,1.216536667
2003,1.134,1.216954545,1.242936667
2004,1.008,1.024954545,1.121736667
2005,1.26,1.236454545,1.352736667
2006,1.188,1.083454545,1.197336667
2007,1.17,1.168954545,1.259136667
2008,0.972,0.696454545,0.900336667
2009,1.206,1.047454545,1.180386667
2010,1.332,1.473454545,1.603086667
2011,1.098,0.909454545,1.040886667
2012,1.17,0.970954545,1.151586667
2013,1.224,1.129954545,1.281636667
2014,1.35,1.209454545,1.380036667
2015,1.638,1.375954545,1.608486667
2016,1.854,1.827454545,1.953036667
2017,1.692,1.609954545,1.733286667
2018,1.566,1.288954545,1.491486667
2019,1.764,1.675954545,1.849986667
2020,1.818,1.770454545,1.962186667
2021,1.548,1.375954545,1.623036667
2022,1.62,1.440454545,1.590786667
2023,2.142,null,2.098686667
